benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,Stage-2 minus Last-Use,allocation,1,349230,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6f2b1762ecfc77438cc02b8d1f9dbf8f6b407361c0a57d98e305c5d44f2ec150,1,6000,2.950352465,2.950352465,24516,3500575552,,0
SBPF-program,Stage-2 minus Borrow,runtime,2,349248,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,04c8955f60e402e7ac7a8575f33f5438ed1c12cb2bed0de3260a2745a01585b8,35,5110,4.901718758,0.140049107,5360,0,,0
SBPF-program,Stage-2 minus Last-Use,runtime,2,349266,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7de2f2abd0832a698680d36ec7697b32c9db174c10866a61235e144e29b2b8d0,2,292,5.107678686,2.553839343,1603676,0,,0
SBPF-program,Stage-2 minus Closure,runtime,2,349284,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,823b006f13396be49bda05cb2dfc84a22e06fd4bf0e752d3e796e9c2801cef5a,363,52998,5.310965517,0.014630759,5148,0,,0
SBPF-program,Stage-2 Full,runtime,2,349308,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16f05137d942029dfd2f0ea9505e510021eeffba9eaafc50e767c787b762fd3d,363,52998,5.341118535,0.014713825,5148,0,,0
SBPF-program,Stage-1,runtime,2,349329,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,16428a461467c55f83f21753c13d959c9d8b71f2bb463512be2bb51cbb41bb8d,1,146,88.852323124,88.852323124,1606864,0,,0
SBPF-program,Stage-2 minus Borrow,allocation,2,349610,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9e0f64551fd2b56f47168bd3205ab9203dc83faa16504b88e721b68ab16fd9fe,1,146,0.151892436,0.151892436,5472,137105648,,0
SBPF-program,Stage-2 minus Last-Use,allocation,2,349612,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9bdec22654c7a678930f6fad2af0f6972f5cf4527afc3806693e6ed876724bcc,1,146,2.565574807,2.565574807,1603768,1279540880,,0
SBPF-program,Stage-2 minus Closure,allocation,2,349630,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,70a2dd87b1dee23b319c5ebebed6ffe40b9df1413ff365dac212ba43e1d22c27,1,146,0.014034483,0.014034483,5148,20166944,,0
SBPF-program,Stage-2 Full,allocation,2,349632,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,f9142a6a66411bf3d10724b9bf2de81a73fea1b58d937f4c4cb2ebb98abd26d3,1,146,0.013550159,0.013550159,4976,20166944,,0
SBPF-program,Stage-1,allocation,2,349634,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7df85c4864c3abde2605fa4a0594b0b81eb3aa4d8727325d3d39048313255c08,1,146,93.539251350,93.539251350,1606948,56653172736,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,2,349929,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,e6529598aafd8fdcf98951a0043ec22a020c7913cbbeb1040d2bae64bd203ebf,32,192000,5.165994186,0.161437318,24572,0,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,2,349947,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,689e92e085b435dc122b97a3f56fa4d514aae7e31a2ab093a09a4f17098e3a6c,2,12000,5.382508501,2.691254251,24584,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,2,349971,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,301b0b1630c0e1ad899aa15a4498b96d1bfaf6290d60a3bbfc880c4e6a68ca50,52,312000,4.502187309,0.086580525,24492,0,,0
