benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,exit_status
x64-stepper,Stage-1,runtime,3,356389,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,19648aeb8438c12257c2d0e2a33d9aec2111b316afff21c807745e9d5c5316c3,143,858000,4.849695374,0.033913954,19156,0,0
x64-stepper,Stage-2 minus Last-Use,runtime,3,356411,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,6ec8f7093f9e94b402a83941bb6a85dcc10bbac51a1c2524a7da4998cfacf682,237,1422000,4.397207483,0.018553618,18988,0,0
x64-stepper,Stage-2 minus Borrow,runtime,3,356436,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,9a2685de7d98fd63270c26a9a1d22d6da98f836ef70315b08751db67dcf0ef44,308,1848000,4.585426715,0.014887749,19084,0,0
x64-stepper,Stage-2 Full,runtime,3,356454,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,8b19acb9a093758cbdcec39588464f5093e3308a9e5f771f5166d288e58f2514,559,3354000,5.904122149,0.010561936,19124,0,0
x64-stepper,Stage-2 minus Closure,runtime,3,356478,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,e32f06b12cea2a9775aa9675b79706ac7c241ffb012246ef08ede5a0901c41dd,559,3354000,5.963961197,0.010668982,19192,0,0
x64-stepper,Stage-1,allocation,3,356503,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,07adfbbbdecb46ce92bc39b1ea87c1e531593e116417db089b357f4e9a87cb11,1,6000,0.037499821,0.037499821,19012,60323736,0
x64-stepper,Stage-2 minus Last-Use,allocation,3,356505,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,66750187c400606793e93f88b579479bc134b057a9cf9a95a3ecbaacc4360aa5,1,6000,0.018889842,0.018889842,19120,31066552,0
x64-stepper,Stage-2 minus Borrow,allocation,3,356507,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,e72cea696a761aa56765675539d409919d591835b2f44a7d92247991cb4f6915,1,6000,0.019631917,0.019631917,18904,23851128,0
x64-stepper,Stage-2 Full,allocation,3,356509,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b5521c47ef1f56a5c7b68f4cf2793449c45fd022eadf92429a3b1f8891746835,1,6000,0.010155128,0.010155128,19000,16850840,0
x64-stepper,Stage-2 minus Closure,allocation,3,356511,0,5bdffbfa2d672adfef981506020f5e42724ef6ab699495528054031c8a5f664e,b388947b66f165ba167b200e746b1e3b14400442ed187e1bfa9d59322d06bb32,1,6000,0.019288052,0.019288052,19064,16850840,0
