benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-2 minus Last-Use,allocation,1,380844,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,b3a186f8bf8b4b9148e3574d2ad665fb33a009e655f3a663d33892fbc480eb0e,1,146,3.019734358,3.019734358,1603736,1266816000,,0
SBPF-instruction,Stage-2 Full,runtime,1,380858,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,991698e0cabaefdee6f4be1097e7762af6fe3332acd5f66e5736ab08ebd22b92,63,378000,5.593592061,0.088787176,24424,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,1,380884,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,8b7a730510e934b0e2212bc8bcab43f2ff0e2045813eeea927b570b40358e5ce,63,378000,5.408330712,0.085846519,24564,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,1,380910,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,e6529598aafd8fdcf98951a0043ec22a020c7913cbbeb1040d2bae64bd203ebf,39,234000,5.916091819,0.151694662,24572,0,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,1,380941,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,510300ba8a8243b96fc87c8d02f67903d0ed985519cc06513f2b38f4fa5b4b11,2,12000,5.059968250,2.529984125,24444,0,,0
SBPF-instruction,Stage-2 Full,allocation,1,380966,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ece986d024fa99eb7846dadbb27627863b378dc435d7c5689d09ffe36f22b26d,1,6000,0.087031460,0.087031460,24496,131129856,,0
SBPF-instruction,Stage-2 minus Closure,allocation,1,380968,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,90ee50b6454592449d3e8f6c8c48250d78c418b8afb76ad147fcd3ed878dcdab,1,6000,0.088514956,0.088514956,24548,131129856,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,1,380970,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,1e0336ebebb610416affd1c60a079cfa2f93b831df1c9142c74a7850ca01821b,1,6000,0.162885893,0.162885893,24572,218360768,,0
SBPF-instruction,Stage-2 minus Last-Use,allocation,1,380972,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,11b28ff71ff818ef19ca734a6b487b6b5ebb9cb121f9c6ccef8b4ff3952051bb,1,6000,2.840623699,2.840623699,24576,3500575552,,0
SBPF-program,Stage-2 minus Borrow,runtime,2,380980,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,04c8955f60e402e7ac7a8575f33f5438ed1c12cb2bed0de3260a2745a01585b8,39,5694,6.098410941,0.156369511,5408,0,,0
SBPF-program,Stage-2 minus Last-Use,runtime,2,381000,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,c1b4b025507d53af50bb4899bb431db3a6b0c9c8568759c2066135ebd53b33a5,2,292,5.516167801,2.758083900,1603672,0,,0
SBPF-program,Stage-2 minus Closure,runtime,2,381020,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,a6902362ce5e7f96be1c91fb111fd16c475675810a44bf65c9dcf8968ce5973e,419,61174,5.212146231,0.012439490,5052,0,,0
SBPF-program,Stage-2 Full,runtime,2,381040,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,3946c1892f13a5328e38e72bdb63b45bce01c87f61f9429aae7a29ce66a45756,419,61174,5.351174869,0.012771300,5144,0,,0
SBPF-program,Stage-2 minus Borrow,allocation,2,381060,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9e0f64551fd2b56f47168bd3205ab9203dc83faa16504b88e721b68ab16fd9fe,1,146,0.158052646,0.158052646,5408,137105648,,0
SBPF-program,Stage-2 minus Last-Use,allocation,2,381062,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,b3a186f8bf8b4b9148e3574d2ad665fb33a009e655f3a663d33892fbc480eb0e,1,146,3.184819869,3.184819869,1603604,1266816000,,0
SBPF-program,Stage-2 minus Closure,allocation,2,381076,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,2491bada11c874bc1d539b2740ed3fb6ef2bec87b58c1a30d82cddf678480061,1,146,0.011725998,0.011725998,5052,14806672,,0
SBPF-program,Stage-2 Full,allocation,2,381078,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,84b930b6e367fc85fe1c0af72e73cf21ec46a7b557c9296a59bf0e37147fab37,1,146,0.016380695,0.016380695,4996,14806672,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,2,381080,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,e6529598aafd8fdcf98951a0043ec22a020c7913cbbeb1040d2bae64bd203ebf,39,234000,6.562795283,0.168276802,24572,0,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,2,381100,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,510300ba8a8243b96fc87c8d02f67903d0ed985519cc06513f2b38f4fa5b4b11,2,12000,5.611127999,2.805563999,24580,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,2,381117,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,8b7a730510e934b0e2212bc8bcab43f2ff0e2045813eeea927b570b40358e5ce,63,378000,5.747077801,0.091223457,24428,0,,0
SBPF-instruction,Stage-2 Full,runtime,2,381134,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,991698e0cabaefdee6f4be1097e7762af6fe3332acd5f66e5736ab08ebd22b92,63,378000,5.870330957,0.093179856,24500,0,,0
