benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-2 Full,runtime,1,200115,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,4698bdbbb93f7c2de3225979d407e0a77a3fa45d82f24e77548c75dff55cc28a,20,2920,0.846516614,0.042325831,8816,0,,0
SBPF-program,Stage-2 minus Mut,runtime,1,200117,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,cb481b0e42254d4ed4184845ba920607be66c92eb739170ebea64cabf711db94,1,146,2.844419527,2.844419527,2137172,0,,0
SBPF-program,Stage-2 minus Copy,runtime,1,200131,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,6b92d1901c3e3952c4b226a5ee94c209ddd47a6ba65de6c38fda3f44e605d01b,20,2920,0.776263182,0.038813159,8848,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,1,200133,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,2cc7c0252fcbcacd5303a23ad28d1bb88c2c953f290a8fc0bf8f409debf90df9,20,2920,2.498128227,0.124906411,6216,0,,0
SBPF-program,Stage-2 Full,allocation,1,200141,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,5031e9d4d1e87083deb9ec59c1aafd691481d2b3c30b5f0e65d1e94cc96dc168,20,2920,0.818316098,0.040915805,8784,400763520,,0
SBPF-program,Stage-2 minus Mut,allocation,1,200151,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,08e38f444a75c8edbc357f0c5c96242f52644ea7f85f53808b78cf985dab1830,1,146,2.752112358,2.752112358,2137076,1811659728,,0
SBPF-program,Stage-2 minus Copy,allocation,1,200159,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,1b11b0239e24bd39ccb03482983a352d912423e0089a2f339e82af81d76ae24b,20,2920,0.787789660,0.039389483,8816,400763520,,0
