benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,OCaml baseline,runtime,3,18996,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,5,30000,5.609657974,1.121931595,39488,0,,0
SBPF-instruction,OCaml baseline,allocation,3,19028,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,89616d38ee93dce7f54feff44ef76addfdc00d4a8414a54d8dae24704577cda2,1,6000,0.000000000,0.000000000,39572,1814669088,,0
SBPF-program,Stage-2 Full,runtime,1,48617,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7bd777b915e7e6a21590464e1414d1e70f5fef5f67794e0fdd65155f9b2922d8,501,73146,5.300813777,0.010580467,4796,0,,0
SBPF-program,Stage-2 minus Closure,runtime,1,48642,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,039b286e9cb59d3c17aa94fa3c1cd2ca1e3537b762c01cec790bbc1600127aca,501,73146,5.259407672,0.010497820,4756,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,1,48661,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9c1ba83e3538c2f9a0aa966a8e31f56bf0af27f36eb8c4c43b7e5e3314aa4262,44,6424,5.396015883,0.122636725,5020,0,,0
SBPF-program,Stage-2 minus Last-Use,runtime,1,48685,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6b84566911beae620ee95287b5e011641af0409f62ffdde895634e361dc0c01,2,292,4.777555594,2.388777797,1603368,0,,0
SBPF-program,Stage-2 Full,allocation,1,48705,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,840857d13a1ef7cbf7556d70cb28488df284a69e7cc7275876a904f26f1d5697,1,146,0.010184799,0.010184799,4628,14806672,,0
SBPF-program,Stage-2 minus Closure,allocation,1,48707,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,48216403d4bd56d0acf6973a9b2eb68fd4521b759846e114bd553071c077a0ed,1,146,0.010455349,0.010455349,4764,14806672,,0
SBPF-program,Stage-2 minus Borrow,allocation,1,48709,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,36388c49529b07c86884fed48fc70bd0c69b54fc25794e9d86cd19b2eb4eec6e,1,146,0.159790517,0.159790517,5120,137105648,,0
SBPF-program,Stage-2 minus Last-Use,allocation,1,48711,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,6e513949e652583483fe42c7553612dba248d6a289df205895008b18ae18432c,1,146,2.531951527,2.531951527,1603256,1266816000,,0
SBPF-instruction,Stage-2 Full,runtime,1,48722,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,04aa406a4161d5d4dbcc61c3a5adb89ec843bb5f3d29074a9ae8d13639fc1526,68,408000,5.377232390,0.079076947,24564,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,1,48743,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,b528697f86392d773c4d052844105f1b42e6dc206dfd3e1aca6d4a6d8c626212,68,408000,5.164087260,0.075942460,24500,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,1,48770,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,06c6db22388e3b030af38f2817a1723a4d403f4296e9302465027c32994e8077,40,240000,5.488452084,0.137211302,24508,0,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,1,48793,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,3d8da1d359cd238722b0b59c73017d18c2ecdba6fe4f6f6a7e671391e3923f9d,2,12000,4.814617132,2.407308566,24576,0,,0
SBPF-instruction,Stage-2 Full,allocation,1,48817,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,762e75d2eb7adfea6d586b2548a49ab27640c10086d904b3f3e39743b5a5b287,1,6000,0.078429569,0.078429569,24428,136608256,,0
SBPF-instruction,Stage-2 minus Closure,allocation,1,48819,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,899544599889fc7deeb9382403aecf6b649e9cbaa3dcf4286177ab324a165690,1,6000,0.083616039,0.083616039,24416,136608256,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,1,48821,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,34b876b1470e3616728de60e588ecc55ffa4175de343b1ffb1a8d55425c0ba4c,1,6000,0.141815759,0.141815759,24444,218360768,,0
SBPF-instruction,Stage-2 minus Last-Use,allocation,1,48823,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,4471a4e85efd165c7603fee372721c4c321924a4ccffef73bdd1343f05ed9a22,1,6000,2.568446402,2.568446402,24444,3495097152,,0
SBPF-program,Stage-2 minus Borrow,runtime,2,48832,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,9c1ba83e3538c2f9a0aa966a8e31f56bf0af27f36eb8c4c43b7e5e3314aa4262,44,6424,5.167036800,0.117432655,4960,0,,0
SBPF-program,Stage-2 minus Last-Use,runtime,2,48856,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6b84566911beae620ee95287b5e011641af0409f62ffdde895634e361dc0c01,2,292,4.374855837,2.187427919,1603376,0,,0
SBPF-program,Stage-2 minus Closure,runtime,2,48874,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,039b286e9cb59d3c17aa94fa3c1cd2ca1e3537b762c01cec790bbc1600127aca,501,73146,5.080117857,0.010139956,4796,0,,0
SBPF-program,Stage-2 Full,runtime,2,48896,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7bd777b915e7e6a21590464e1414d1e70f5fef5f67794e0fdd65155f9b2922d8,501,73146,5.060963394,0.010101723,4796,0,,0
SBPF-program,Stage-2 minus Borrow,allocation,2,48920,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,36388c49529b07c86884fed48fc70bd0c69b54fc25794e9d86cd19b2eb4eec6e,1,146,0.122483560,0.122483560,5020,137105648,,0
SBPF-program,Stage-2 minus Last-Use,allocation,2,48922,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,6e513949e652583483fe42c7553612dba248d6a289df205895008b18ae18432c,1,146,3.065913333,3.065913333,1603244,1266816000,,0
SBPF-program,Stage-2 minus Closure,allocation,2,48934,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,48216403d4bd56d0acf6973a9b2eb68fd4521b759846e114bd553071c077a0ed,1,146,0.014905132,0.014905132,4796,14806672,,0
SBPF-program,Stage-2 Full,allocation,2,48936,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,840857d13a1ef7cbf7556d70cb28488df284a69e7cc7275876a904f26f1d5697,1,146,0.010465663,0.010465663,4796,14806672,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,2,48939,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,06c6db22388e3b030af38f2817a1723a4d403f4296e9302465027c32994e8077,40,240000,5.648700429,0.141217511,24572,0,,0
SBPF-instruction,Stage-2 minus Last-Use,runtime,2,48962,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,3d8da1d359cd238722b0b59c73017d18c2ecdba6fe4f6f6a7e671391e3923f9d,2,12000,4.708360062,2.354180031,24576,0,,0
SBPF-instruction,Stage-2 minus Closure,runtime,2,48987,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,b528697f86392d773c4d052844105f1b42e6dc206dfd3e1aca6d4a6d8c626212,68,408000,5.423592433,0.079758712,24608,0,,0
SBPF-instruction,Stage-2 Full,runtime,2,49006,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,04aa406a4161d5d4dbcc61c3a5adb89ec843bb5f3d29074a9ae8d13639fc1526,68,408000,5.438775333,0.079981990,24548,0,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,2,49030,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,34b876b1470e3616728de60e588ecc55ffa4175de343b1ffb1a8d55425c0ba4c,1,6000,0.143441909,0.143441909,24440,218360768,,0
