benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-1,runtime,1,137444,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,de146c7b80b680b00fa79a7bf647a4964ed37a0e9ed8d00551ec77e725b392e2,1,146,93.267563332,93.267563332,1608948,0,,0
SBPF-program,Stage-2 minus Copy,runtime,1,137732,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,29099024f7850c4a3a7a2c3895f0c8471b16a842ff81d208e942d2d596a82ded,20,2920,4.989720758,0.249486038,6636,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,1,137755,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,de4bc419a7f523ffa9136848053ae3439366ce903a79b8c43300ee13b182c1cb,20,2920,7.496211347,0.374810567,7644,0,,0
SBPF-program,Stage-2 minus Mut,runtime,1,137784,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,0eec6942f0208fb0c431af993db314e4bd3ca18100d3020c7a6c07290b1b1376,1,146,3.916213457,3.916213457,1604912,0,,0
SBPF-program,Stage-2 Full,runtime,1,137792,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,c438448262f77d3432d582440c7ae51586fd366c750f82f7387b8ce110c7890b,20,2920,4.775291241,0.238764562,6632,0,,0
SBPF-program,OCaml baseline,runtime,1,137812,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,40186066a1767213fa7dc9bc161d25e53dd04c292a9dbe9adf08c82326ca7a47,20,2920,3.316473961,0.165823698,9704,0,,0
SBPF-program,Case-study baseline,runtime,1,137821,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6afdd662d160ca6c9bcee252020d8009293b7440d24e55205a9ef931452f562,20,2920,0.000703577,0.000035179,25964,0,,0
SBPF-program,Stage-1,allocation,1,137823,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,3ca9fd38fe9f9977b389666c71cf63f8769cecec7d2b59d96c66256886a80895,1,146,101.374424467,101.374424467,1609064,71210002638,,0
SBPF-program,Stage-2 minus Copy,allocation,1,138145,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,c79b955a705b2ca923ea15e960d02e8409ed5dad267a6d23745aa16c18151968,20,2920,5.630568218,0.281528411,6732,945405200,,0
SBPF-program,Stage-2 minus Borrow,allocation,1,138165,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,ec8fdded7db2899d6ece0203d68615ad353f3d04b30d8845f0b09c44d0f75253,20,2920,8.562641211,0.428132061,7484,4030576400,,0
SBPF-program,Stage-2 minus Mut,allocation,1,138204,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,db03beb4f05bdc0b547771d4583e47867c513602342dada16b75dc720ed1ba1c,1,146,4.003876433,4.003876433,1604884,1672837378,,0
SBPF-program,Stage-2 Full,allocation,1,138281,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7ccce739761aaff4e7f085bd4dd1cb44195504801b10579877fc3e49fb134c2f,20,2920,5.801031561,0.290051578,6744,945405200,,0
SBPF-program,OCaml baseline,allocation,1,138305,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,40186066a1767213fa7dc9bc161d25e53dd04c292a9dbe9adf08c82326ca7a47,20,2920,0.000000000,0.000000000,9716,7775392896,,0
SBPF-program,Case-study baseline,allocation,1,138313,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,bb433104383926704ad65bc2c6066be6434333cd97a4a6ae7abe520b20a38e9c,20,2920,0.001424971,0.000071249,25848,0,,0
SBPF-instruction,Stage-1,runtime,1,138315,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,4596ba49e823d2140efbdc9aee5d8943c6b5019376f6490458be719cced6e147,1,6000,13.204532629,13.204532629,25116,0,,0
SBPF-instruction,Stage-2 minus Copy,runtime,1,138367,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,8fc42df1f632fcdd4a201b795169b96b5671e1138c047b32726bb8a554567b20,1,6000,0.810095185,0.810095185,25068,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,1,138369,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,a190f9d2cd93a850912d1fd4147f45fca1c8f5f17926343e4e0d88ccf107e7fa,1,6000,0.860400812,0.860400812,25176,0,,0
SBPF-instruction,Stage-2 minus Mut,runtime,1,138371,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,6d6cda6fe387575d9e028ac3591fff33e7fe36e6101e8a91bf7ff35ee63203db,1,6000,3.787245786,3.787245786,24996,0,,0
SBPF-instruction,Stage-2 Full,runtime,1,138390,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,f05566597f74743462148d50bd67466d7dd0969a91150fbca9d5b2c19aa6844d,1,6000,0.923950293,0.923950293,25060,0,,0
SBPF-instruction,OCaml baseline,runtime,1,138398,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c3ee4d727dce3a369bbbc817327b72a7e3babce8ad6ff1233eff43bb35262682,1,6000,1.130695105,1.130695105,39364,0,,0
SBPF-instruction,Case-study baseline,runtime,1,138404,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ced7b92d661351576a6a1cc713d6ba85288c3f379f0f608fd351702bcfbf1f01,1,6000,0.002259773,0.002259773,60916,0,,0
SBPF-instruction,Stage-1,allocation,1,138412,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,4bd32200828fb8e962584f59d52f1a40e9821022c2b45141d3c24be91137a1ed,1,6000,13.583081632,13.583081632,25052,8531067556,,0
SBPF-instruction,Stage-2 minus Copy,allocation,1,138455,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,26707b7d3e149cea9b21a797d85a69f687b0278fc25f33d0f09895c24acb75ba,1,6000,0.864143350,0.864143350,25068,259223011,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,1,138463,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2cefeac9fe679cc1064f46b5fb5cdd8712c3873af0d8565550a75e85f8d6c729,1,6000,0.955165823,0.955165823,25048,368256355,,0
SBPF-instruction,Stage-2 minus Mut,allocation,1,138465,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,57d2780a1a924116a496c7e950a539fa02f8b30d26a2484bd7169dff86e14139,1,6000,4.098288695,4.098288695,24928,4879388086,,0
SBPF-instruction,Stage-2 Full,allocation,1,138483,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c3ee4c8d099e487c40450a039140e4705e6b056a2dcf11954bfb2de9ef0d0374,1,6000,0.922522117,0.922522117,24996,259223011,,0
SBPF-instruction,OCaml baseline,allocation,1,138491,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c3ee4d727dce3a369bbbc817327b72a7e3babce8ad6ff1233eff43bb35262682,1,6000,0.000000000,0.000000000,39460,1814669088,,0
SBPF-instruction,Case-study baseline,allocation,1,138497,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,83a976aef619c7c5984afc8a7bef932841b8da1eeaeb6b00d19774081adf4f3f,1,6000,0.002015235,0.002015235,60964,0,,0
SBPF-program,Stage-2 minus Copy,runtime,2,138499,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,29099024f7850c4a3a7a2c3895f0c8471b16a842ff81d208e942d2d596a82ded,20,2920,5.191676570,0.259583829,6636,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,2,138523,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,de4bc419a7f523ffa9136848053ae3439366ce903a79b8c43300ee13b182c1cb,20,2920,7.710453447,0.385522672,7616,0,,0
SBPF-program,Stage-2 minus Mut,runtime,2,138548,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,0eec6942f0208fb0c431af993db314e4bd3ca18100d3020c7a6c07290b1b1376,1,146,3.952818625,3.952818625,1604856,0,,0
SBPF-program,Stage-2 Full,runtime,2,138567,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,c438448262f77d3432d582440c7ae51586fd366c750f82f7387b8ce110c7890b,20,2920,5.107478338,0.255373917,6784,0,,0
SBPF-program,OCaml baseline,runtime,2,138591,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,40186066a1767213fa7dc9bc161d25e53dd04c292a9dbe9adf08c82326ca7a47,20,2920,3.166041851,0.158302093,9724,0,,0
SBPF-program,Case-study baseline,runtime,2,138603,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6afdd662d160ca6c9bcee252020d8009293b7440d24e55205a9ef931452f562,20,2920,0.000760940,0.000038047,25980,0,,0
SBPF-program,Stage-1,runtime,2,138605,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,de146c7b80b680b00fa79a7bf647a4964ed37a0e9ed8d00551ec77e725b392e2,1,146,98.256335180,98.256335180,1609040,0,,0
