benchmark,implementation,metric,unit,run_1,run_2,run_3,median
SBPF-program,Stage-1,Median runtime,s,93.267563332,98.256335180,95.976977725,95.976977725
SBPF-program,Stage-1,Peak RSS,MiB,1571.238281250,1571.328125000,1571.273437500,1571.273437500
SBPF-program,Stage-1,Heap allocation,MiB/case,465.144867035,465.144867035,465.144867035,465.144867035
SBPF-program,Stage-1,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Copy,Median runtime,s,0.249486038,0.259583829,0.251404734,0.251404734
SBPF-program,Stage-2 minus Copy,Peak RSS,MiB,6.480468750,6.480468750,6.636718750,6.480468750
SBPF-program,Stage-2 minus Copy,Heap allocation,MiB/case,0.308770088,0.308770088,0.308770088,0.308770088
SBPF-program,Stage-2 minus Copy,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Borrow,Median runtime,s,0.374810567,0.385522672,0.331350143,0.374810567
SBPF-program,Stage-2 minus Borrow,Peak RSS,MiB,7.464843750,7.437500000,7.433593750,7.437500000
SBPF-program,Stage-2 minus Borrow,Heap allocation,MiB/case,1.316389450,1.316389450,1.316389450,1.316389450
SBPF-program,Stage-2 minus Borrow,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Mut,Median runtime,s,3.916213457,3.952818625,3.549812622,3.916213457
SBPF-program,Stage-2 minus Mut,Peak RSS,MiB,1567.296875000,1567.242187500,1567.363281250,1567.296875000
SBPF-program,Stage-2 minus Mut,Heap allocation,MiB/case,10.927000294,10.927000294,10.927000294,10.927000294
SBPF-program,Stage-2 minus Mut,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 Full,Median runtime,s,0.238764562,0.255373917,0.226279376,0.238764562
SBPF-program,Stage-2 Full,Peak RSS,MiB,6.476562500,6.625000000,6.460937500,6.476562500
SBPF-program,Stage-2 Full,Heap allocation,MiB/case,0.308770088,0.308770088,0.308770088,0.308770088
SBPF-program,Stage-2 Full,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,OCaml baseline,Median runtime,s,0.165823698,0.158302093,0.147408998,0.158302093
SBPF-program,OCaml baseline,Peak RSS,MiB,9.476562500,9.496093750,9.500000000,9.496093750
SBPF-program,OCaml baseline,Heap allocation,MiB/case,2.539449488,2.539449488,2.539449488,2.539449488
SBPF-program,OCaml baseline,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Case-study baseline,Median runtime,s,0.000035179,0.000038047,0.000047084,0.000038047
SBPF-program,Case-study baseline,Peak RSS,MiB,25.355468750,25.371093750,25.335937500,25.355468750
SBPF-program,Case-study baseline,Heap allocation,MiB/case,0.000000000,0.000000000,0.000000000,0.000000000
SBPF-program,Case-study baseline,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-1,Median runtime,s,13.204532629,14.322400474,14.282569987,14.282569987
SBPF-instruction,Stage-1,Peak RSS,MiB,24.527343750,24.449218750,24.527343750,24.527343750
SBPF-instruction,Stage-1,Heap allocation,KiB/step,1388.520110026,1388.520110026,1388.520110026,1388.520110026
SBPF-instruction,Stage-1,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Copy,Median runtime,s,0.810095185,0.821893225,0.914503883,0.821893225
SBPF-instruction,Stage-2 minus Copy,Peak RSS,MiB,24.480468750,24.355468750,24.480468750,24.480468750
SBPF-instruction,Stage-2 minus Copy,Heap allocation,KiB/step,42.191245280,42.191245280,42.191245280,42.191245280
SBPF-instruction,Stage-2 minus Copy,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Borrow,Median runtime,s,0.860400812,0.935073651,0.895731958,0.895731958
SBPF-instruction,Stage-2 minus Borrow,Peak RSS,MiB,24.585937500,24.398437500,24.523437500,24.523437500
SBPF-instruction,Stage-2 minus Borrow,Heap allocation,KiB/step,59.937557780,59.937557780,59.937557780,59.937557780
SBPF-instruction,Stage-2 minus Borrow,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Mut,Median runtime,s,3.787245786,4.078206406,4.266590462,4.078206406
SBPF-instruction,Stage-2 minus Mut,Peak RSS,MiB,24.410156250,24.472656250,24.535156250,24.472656250
SBPF-instruction,Stage-2 minus Mut,Heap allocation,KiB/step,794.171237956,794.171237956,794.171237956,794.171237956
