benchmark,implementation,metric,unit,run_1,run_2,run_3,median
SBPF-instruction,Stage-2 minus Mut,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 Full,Median runtime,s,0.923950293,0.855010849,0.845647958,0.855010849
SBPF-instruction,Stage-2 Full,Peak RSS,MiB,24.472656250,24.410156250,24.410156250,24.410156250
SBPF-instruction,Stage-2 Full,Heap allocation,KiB/step,42.191245280,42.191245280,42.191245280,42.191245280
SBPF-instruction,Stage-2 Full,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,OCaml baseline,Median runtime,s,1.130695105,1.252449989,1.205373049,1.205373049
SBPF-instruction,OCaml baseline,Peak RSS,MiB,38.441406250,38.453125000,38.625000000,38.453125000
SBPF-instruction,OCaml baseline,Heap allocation,KiB/step,295.356296875,295.356296875,295.356296875,295.356296875
SBPF-instruction,OCaml baseline,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Case-study baseline,Median runtime,s,0.002259773,0.001902101,0.001922521,0.001922521
SBPF-instruction,Case-study baseline,Peak RSS,MiB,59.488281250,59.460937500,59.507812500,59.488281250
SBPF-instruction,Case-study baseline,Heap allocation,KiB/step,0.000000000,0.000000000,0.000000000,0.000000000
SBPF-instruction,Case-study baseline,Host instructions,instructions/step,TBD,TBD,TBD,TBD
