benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-program,Stage-1,runtime,1,185309,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,0a8cffbb0271c000257ad32c90efef00dd3cb276d2cbcfbcdbcf5f7c0d31b474,1,146,182.309157712,182.309157712,2137188,0,,0
SBPF-program,Stage-2 minus Copy,runtime,1,185961,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,b790643ebc10b60c57a296ed5f5ae77dbc80e8a2792af9c8363489dd634570f1,20,2920,1.115539103,0.055776955,5792,0,,0
SBPF-program,Stage-2 minus Borrow,runtime,1,185969,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,5054d4bf3157a04adb1485c8375f9ff0ab99145924e5eb88f67032a28af68fe4,20,2920,5.372891534,0.268644577,6216,0,,0
SBPF-program,Stage-2 minus Mut,runtime,1,185984,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,8d289d49809f94ce8151827c90d0b7449e48a898971c2a6058cd71c17cd6a68c,1,146,5.092617329,5.092617329,2137016,0,,0
SBPF-program,Stage-2 Full,runtime,1,185999,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,517469f5c1ef88c1fa7a9aa2044720cd61a10de5e87fa253fbc42d7cc5c53cc5,20,2920,1.156456819,0.057822841,5888,0,,0
SBPF-program,OCaml baseline,runtime,1,186006,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,40186066a1767213fa7dc9bc161d25e53dd04c292a9dbe9adf08c82326ca7a47,20,2920,5.526641846,0.276332092,9692,0,,0
SBPF-program,Case-study baseline,runtime,1,186023,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d6afdd662d160ca6c9bcee252020d8009293b7440d24e55205a9ef931452f562,20,2920,0.000952570,0.000047628,25980,0,,0
SBPF-program,Stage-1,allocation,1,186025,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,38c2ad2a70ae48d7c26f9f9aebbd3c2d63d89aeed2b84c14a5f007563e531ad0,1,146,193.201740110,193.201740110,2137184,57210612256,,0
SBPF-program,Stage-2 minus Copy,allocation,1,186607,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,7e8cae45c6c5e70aa990b73055dfaa9b740f7d3d589652e3a5d336cfd8251ed0,20,2920,1.478995466,0.073949773,5816,148847680,,0
SBPF-program,Stage-2 minus Borrow,allocation,1,186618,0,cafc40d84adc2cf4a66673fdba81e734029de8c67795dbae4c09933ca8da2662,d085e9d39fb3cbad480f79bb7b959a188cd2fb366c5f6e3ef34a7d3b5b386a25,20,2920,5.336131625,0.266806581,6240,2589302720,,0
