implementation,median_seconds,steps_per_second,speedup_vs_stage1,time_vs_ocaml,time_vs_native,allocation_kib_per_step,allocation_vs_stage1
Stage-2 minus PreferOwned,0.009056813,662484.695,N/A,N/A,N/A,2.517076823,unavailable
Stage-2 Full,0.009430283,636248.138,N/A,N/A,N/A,2.742649740,unavailable
