benchmark,implementation,metric,run_id,process_id,cpu,input_sha256,binary_sha256,suite_repetitions,logical_units,elapsed_seconds,normalized_seconds,peak_rss_kib,allocated_bytes,host_instructions,exit_status
SBPF-instruction,Stage-1,runtime,1,217132,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,bd5675757ba03d18656e74cd7b8e4c57a423d416e14b83024850e13826b6becc,17,6000,6.171477211,0.363028071,25144,0,,0
SBPF-instruction,Stage-2 minus Copy,runtime,1,217152,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,0737b1b8294c59ad5aacf7dddfe947a72ef42827df3521b67fb731ae1b829374,17,102000,1.237154633,0.072773802,25244,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,1,217160,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2a8913877e3c31161cbbc5e158589f5fb9490b0c07e8b0cababa251db211402b,17,102000,2.241331916,0.131843054,25252,0,,0
SBPF-instruction,Stage-2 minus Mut,runtime,1,217168,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,764ce12b99de0e53053c416f76eb05964c777101844679e660171f6d3a755933,17,102000,44.471935076,2.615996181,25312,0,,0
SBPF-instruction,Stage-2 Full,runtime,1,217308,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,3f8c4e6a0b91e5e07dbf4713989ec2643c757a1c47429f61ce43e81c60186837,17,102000,1.286207360,0.075659256,25224,0,,0
SBPF-instruction,OCaml baseline,runtime,1,217316,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c3ee4d727dce3a369bbbc817327b72a7e3babce8ad6ff1233eff43bb35262682,17,6000,1.062670946,0.062510056,39468,0,,0
SBPF-instruction,Case-study baseline,runtime,1,217324,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,ced7b92d661351576a6a1cc713d6ba85288c3f379f0f608fd351702bcfbf1f01,17,6000,0.001503962,0.000088468,60912,0,,0
SBPF-instruction,Stage-1,allocation,1,217326,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,285d2d79c9ab3ce7033d42c12261cec717751189f174c9e0297e26059f2b7a87,1,6000,6.584429141,6.584429141,25204,6620270720,,0
SBPF-instruction,Stage-2 minus Copy,allocation,1,217347,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,8051b16e6b4b96cc28ed48f958dbbaaeb0238ef399da67e70d81cf964bdbbc6d,1,6000,0.076081719,0.076081719,25160,106610176,,0
SBPF-instruction,Stage-2 minus Borrow,allocation,1,217349,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,73a54d8f8f0753ad4ee90556fe65328e492b40a32284bfd8edc1aae521ab3244,1,6000,0.138968263,0.138968263,25252,191642848,,0
SBPF-instruction,Stage-2 minus Mut,allocation,1,217351,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c695c7b0d4a558c8271dbaa4c1ba478b0f8a12082493920d0018e4f8cd9a1e09,1,6000,2.750018641,2.750018641,25244,4181165744,,0
SBPF-instruction,Stage-2 Full,allocation,1,217365,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,f95ec3038e6fad3e3334a483c8fa5cce9f7320a3a543281473e0659e6c72ade4,1,6000,0.073095215,0.073095215,25160,106610176,,0
SBPF-instruction,OCaml baseline,allocation,1,217367,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,c3ee4d727dce3a369bbbc817327b72a7e3babce8ad6ff1233eff43bb35262682,1,6000,0.000000000,0.000000000,39452,1814669088,,0
SBPF-instruction,Case-study baseline,allocation,1,217370,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,83a976aef619c7c5984afc8a7bef932841b8da1eeaeb6b00d19774081adf4f3f,1,6000,0.002160433,0.002160433,60832,0,,0
SBPF-instruction,Stage-2 minus Copy,runtime,2,217372,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,0737b1b8294c59ad5aacf7dddfe947a72ef42827df3521b67fb731ae1b829374,17,102000,1.259470419,0.074086495,25228,0,,0
SBPF-instruction,Stage-2 minus Borrow,runtime,2,217381,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,2a8913877e3c31161cbbc5e158589f5fb9490b0c07e8b0cababa251db211402b,17,102000,2.292263826,0.134839049,25204,0,,0
SBPF-instruction,Stage-2 minus Mut,runtime,2,217389,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,764ce12b99de0e53053c416f76eb05964c777101844679e660171f6d3a755933,17,102000,43.707990619,2.571058272,25120,0,,0
SBPF-instruction,Stage-2 Full,runtime,2,217545,0,bc8bdb416345c369ee0f53d2e896f132f50433919fbf14f258d1b2d2ef5072b2,3f8c4e6a0b91e5e07dbf4713989ec2643c757a1c47429f61ce43e81c60186837,17,102000,1.262610840,0.074271226,25244,0,,0
