benchmark,implementation,metric,unit,run_1,run_2,run_3,median
SBPF-program,Stage-1,Median runtime,s,182.309157712,174.301450236,172.046699118,174.301450236
SBPF-program,Stage-1,Peak RSS,MiB,2087.097656250,2087.062500000,2087.062500000,2087.062500000
SBPF-program,Stage-1,Heap allocation,MiB/case,373.700626948,373.700626948,373.700626948,373.700626948
SBPF-program,Stage-1,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Copy,Median runtime,s,0.042880829,0.047500290,0.043795260,0.043795260
SBPF-program,Stage-2 minus Copy,Peak RSS,MiB,8.613281250,8.671875000,8.613281250,8.613281250
SBPF-program,Stage-2 minus Copy,Heap allocation,MiB/case,0.130889684,0.130889684,0.130889684,0.130889684
SBPF-program,Stage-2 minus Copy,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Borrow,Median runtime,s,0.133765563,0.134266365,0.132617205,0.133765563
SBPF-program,Stage-2 minus Borrow,Peak RSS,MiB,6.097656250,6.070312500,6.042968750,6.070312500
SBPF-program,Stage-2 minus Borrow,Heap allocation,MiB/case,0.845668322,0.845668322,0.845668322,0.845668322
SBPF-program,Stage-2 minus Borrow,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 minus Mut,Median runtime,s,3.200496669,3.183405087,3.265207099,3.200496669
SBPF-program,Stage-2 minus Mut,Peak RSS,MiB,2087.066406250,2087.101562500,2086.972656250,2087.066406250
SBPF-program,Stage-2 minus Mut,Heap allocation,MiB/case,11.833790087,11.833790087,11.833790087,11.833790087
SBPF-program,Stage-2 minus Mut,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Stage-2 Full,Median runtime,s,0.042380460,0.041945223,0.037419214,0.041945223
SBPF-program,Stage-2 Full,Peak RSS,MiB,8.695312500,8.578125000,8.683593750,8.683593750
SBPF-program,Stage-2 Full,Heap allocation,MiB/case,0.130889684,0.130889684,0.130889684,0.130889684
SBPF-program,Stage-2 Full,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,OCaml baseline,Median runtime,s,0.276332092,0.312345457,0.195636797,0.276332092
SBPF-program,OCaml baseline,Peak RSS,MiB,9.464843750,9.503906250,9.394531250,9.464843750
SBPF-program,OCaml baseline,Heap allocation,MiB/case,2.539449488,2.539449488,2.539449488,2.539449488
SBPF-program,OCaml baseline,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-program,Case-study baseline,Median runtime,s,0.000047628,0.000051748,0.000114484,0.000051748
SBPF-program,Case-study baseline,Peak RSS,MiB,25.371093750,25.355468750,25.398437500,25.371093750
SBPF-program,Case-study baseline,Heap allocation,MiB/case,0.000000000,0.000000000,0.000000000,0.000000000
SBPF-program,Case-study baseline,Host instructions,instructions/case,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-1,Median runtime,s,13.175137303,11.327755512,14.976424056,13.175137303
SBPF-instruction,Stage-1,Peak RSS,MiB,24.546875000,24.558593750,24.570312500,24.558593750
SBPF-instruction,Stage-1,Heap allocation,KiB/step,1077.518020833,1077.518020833,1077.518020833,1077.518020833
SBPF-instruction,Stage-1,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Copy,Median runtime,s,0.071592532,0.072896985,0.114466939,0.072896985
SBPF-instruction,Stage-2 minus Copy,Peak RSS,MiB,24.648437500,24.589843750,24.757812500,24.648437500
SBPF-instruction,Stage-2 minus Copy,Heap allocation,KiB/step,17.351916667,17.351916667,17.351916667,17.351916667
SBPF-instruction,Stage-2 minus Copy,Host instructions,instructions/step,TBD,TBD,TBD,TBD
SBPF-instruction,Stage-2 minus Borrow,Median runtime,s,0.139385628,0.119950707,0.129250360,0.129250360
SBPF-instruction,Stage-2 minus Borrow,Peak RSS,MiB,24.535156250,24.597656250,24.585937500,24.585937500
SBPF-instruction,Stage-2 minus Borrow,Heap allocation,KiB/step,31.191869792,31.191869792,31.191869792,31.191869792
